Month,K-pop: (United States),BTS: (United States),NewJeans: (United States),BLACKPINK: (United States),TWICE: (United States),(G)I-DLE: (United States),FIFTY FIFTY: (United States),aespa: (United States),Enhyphen: (United States),Stray Kids: (United States),TOMORROW X TOGETHER: (United States)
2010-01,2,1,<1,<1,1,<1,0,<1,0,0,51
2010-02,3,1,0,<1,1,0,0,0,<1,<1,50
2010-03,3,1,0,<1,1,<1,0,<1,0,<1,50
2010-04,3,1,0,<1,1,0,0,0,0,0,49
2010-05,3,1,0,<1,1,<1,0,<1,0,0,50
2010-06,3,1,0,<1,1,<1,0,<1,0,<1,50
2010-07,4,1,0,<1,1,<1,<1,0,0,<1,53
2010-08,4,1,0,<1,1,<1,0,<1,0,<1,50
2010-09,4,1,0,<1,1,<1,0,0,0,<1,48
2010-10,4,1,0,<1,1,<1,0,0,0,<1,50
2010-11,4,1,<1,<1,1,<1,0,0,0,<1,49
2010-12,4,1,0,<1,1,<1,0,0,0,<1,51
2011-01,4,1,0,<1,1,<1,0,0,0,0,47
2011-02,4,1,0,<1,1,<1,<1,0,<1,<1,44
2011-03,4,1,0,<1,1,<1,0,0,0,0,44
2011-04,5,1,0,<1,1,<1,<1,0,0,<1,43
2011-05,5,1,0,<1,1,<1,<1,0,0,0,42
2011-06,6,1,<1,<1,1,0,0,0,0,0,41
2011-07,6,1,0,<1,1,<1,0,0,0,<1,41
2011-08,7,1,0,<1,1,<1,0,0,0,<1,42
2011-09,6,1,0,<1,1,<1,0,<1,0,0,41
2011-10,7,1,0,<1,1,<1,0,0,0,0,43
2011-11,7,1,0,<1,1,<1,0,0,0,0,40
2011-12,7,1,<1,<1,1,<1,0,<1,0,0,41
2012-01,8,1,0,<1,1,0,0,0,0,<1,41
2012-02,7,1,0,<1,1,<1,<1,0,0,0,40
2012-03,7,1,0,<1,1,<1,0,0,0,<1,39
2012-04,8,1,0,<1,1,<1,0,<1,0,<1,39
2012-05,9,1,<1,<1,1,<1,0,0,0,<1,37
2012-06,8,1,0,<1,1,<1,0,0,<1,<1,38
2012-07,10,1,0,<1,1,<1,0,0,0,0,38
2012-08,10,1,0,<1,1,<1,0,<1,0,<1,34
2012-09,12,1,0,<1,1,<1,0,0,<1,<1,35
2012-10,10,1,0,<1,1,<1,0,0,0,0,34
2012-11,9,1,0,<1,1,0,0,0,0,<1,34
2012-12,10,1,<1,<1,1,0,0,0,0,<1,34
2013-01,9,1,0,<1,1,<1,0,0,0,<1,33
2013-02,8,1,0,<1,1,<1,0,<1,0,<1,31
2013-03,9,1,0,<1,1,<1,0,0,0,<1,32
2013-04,9,1,<1,<1,1,0,0,0,0,<1,31
2013-05,9,1,0,<1,1,<1,0,0,0,<1,31
2013-06,9,3,0,<1,1,<1,<1,<1,0,<1,30
2013-07,11,3,0,<1,1,<1,0,0,<1,0,30
2013-08,11,3,0,<1,1,<1,0,0,0,<1,27
2013-09,9,3,0,<1,1,0,0,0,0,<1,30
2013-10,8,2,<1,<1,1,0,<1,0,0,<1,29
2013-11,10,2,0,<1,1,<1,0,<1,0,<1,28
2013-12,9,2,0,<1,1,0,0,<1,0,<1,30
2014-01,10,3,0,<1,1,<1,0,<1,0,<1,29
2014-02,10,4,0,<1,1,0,0,<1,0,<1,28
2014-03,10,4,<1,<1,1,0,0,<1,0,<1,29
2014-04,11,4,<1,<1,1,<1,0,0,<1,<1,30
2014-05,10,4,0,<1,1,<1,0,0,0,<1,30
2014-06,11,5,0,<1,1,<1,<1,0,0,0,29
2014-07,12,5,0,<1,1,<1,<1,<1,0,0,29
2014-08,12,7,0,<1,1,0,0,0,0,<1,28
2014-09,12,5,0,<1,2,0,0,<1,0,0,30
2014-10,11,5,0,<1,2,0,0,0,0,<1,30
2014-11,11,5,0,<1,2,0,0,0,0,<1,27
2014-12,11,6,0,<1,1,<1,0,<1,0,<1,29
2015-01,12,6,0,<1,2,<1,0,0,0,<1,30
2015-02,11,7,0,<1,2,<1,0,0,0,<1,28
2015-03,12,6,0,<1,2,<1,0,<1,<1,<1,28
2015-04,12,7,0,<1,2,<1,0,0,<1,<1,28
2015-05,12,11,0,<1,2,<1,0,0,<1,<1,29
2015-06,13,11,0,<1,2,0,<1,<1,<1,<1,29
2015-07,14,13,0,<1,2,<1,0,0,<1,<1,28
2015-08,14,11,0,<1,1,<1,0,<1,<1,<1,27
2015-09,12,11,0,<1,1,0,0,<1,0,0,26
2015-10,13,11,0,<1,3,<1,0,<1,0,<1,26
2015-11,15,15,0,<1,3,0,0,0,0,<1,25
2015-12,16,20,0,<1,3,<1,0,0,0,0,25
2016-01,14,16,0,<1,3,<1,0,<1,0,<1,24
2016-02,14,14,0,<1,2,0,0,<1,0,<1,23
2016-03,14,15,0,<1,2,<1,0,0,0,<1,24
2016-04,15,15,0,<1,3,<1,0,<1,0,<1,23
2016-05,14,23,0,<1,4,<1,0,<1,<1,<1,23
2016-06,15,21,0,<1,3,<1,<1,0,0,<1,23
2016-07,16,17,0,1,3,<1,0,0,0,<1,20
2016-08,13,16,0,6,2,<1,0,<1,0,<1,20
2016-09,12,16,0,3,2,<1,0,0,0,<1,21
2016-10,14,24,0,2,4,<1,0,0,0,<1,21
2016-11,13,22,<1,4,4,<1,0,<1,0,<1,19
2016-12,15,26,0,3,4,<1,0,<1,0,0,19
2017-01,15,24,0,3,3,<1,<1,<1,0,0,19
2017-02,15,32,<1,3,4,0,0,<1,0,0,18
2017-03,16,30,0,3,4,<1,0,0,0,<1,18
2017-04,16,31,0,2,3,<1,0,0,0,0,19
2017-05,16,42,0,3,4,<1,0,0,0,<1,17
2017-06,16,33,0,5,4,0,0,0,<1,<1,17
2017-07,17,33,0,5,4,<1,0,<1,0,<1,17
2017-08,15,29,<1,4,3,<1,0,<1,0,<1,16
2017-09,14,40,0,3,3,0,0,0,0,<1,17
2017-10,14,35,0,3,3,<1,0,<1,0,6,18
2017-11,15,62,0,3,4,<1,0,0,0,6,17
2017-12,21,60,0,3,4,0,0,0,0,11,16
2018-01,18,66,0,4,4,<1,0,0,0,13,17
2018-02,20,55,0,4,5,0,0,<1,0,8,17
2018-03,18,52,0,4,4,<1,0,0,0,12,16
2018-04,18,58,0,3,5,<1,0,<1,0,15,16
2018-05,18,93,0,4,4,8,<1,0,0,12,15
2018-06,19,66,<1,10,4,4,0,<1,0,13,16
2018-07,20,57,0,9,5,3,0,0,<1,14,15
2018-08,20,67,0,7,4,7,0,<1,0,22,15
2018-09,18,82,0,6,4,4,0,0,0,19,16
2018-10,17,66,<1,6,4,3,0,<1,<1,17,17
2018-11,18,60,0,7,5,6,0,0,0,19,15
2018-12,18,64,0,7,5,4,0,0,0,20,15
2019-01,19,60,0,10,4,4,0,<1,0,21,64
2019-02,19,66,0,14,4,4,0,0,0,22,34
2019-03,20,62,0,8,3,6,0,0,0,24,100
2019-04,20,88,0,23,5,3,0,<1,0,22,45
2019-05,19,100,<1,13,6,3,0,0,0,22,42
2019-06,19,69,0,9,5,5,0,0,0,22,32
2019-07,21,60,0,9,7,6,<1,<1,0,24,32
2019-08,19,54,0,8,6,3,0,0,0,19,30
2019-09,17,47,0,7,6,4,<1,<1,0,18,26
2019-10,19,45,0,6,6,4,0,0,0,25,34
2019-11,22,50,0,7,5,5,0,<1,0,21,31
2019-12,21,50,0,6,5,3,0,<1,<1,27,34
2020-01,21,69,0,7,5,5,<1,<1,0,24,30
2020-02,19,80,0,6,4,5,0,<1,0,23,31
2020-03,18,58,0,6,4,4,0,0,0,20,28
2020-04,24,56,0,7,5,11,0,0,0,21,35
2020-05,23,50,0,8,6,7,0,<1,0,22,50
2020-06,33,60,0,15,8,6,0,<1,0,37,52
2020-07,24,51,0,13,5,6,0,<1,0,44,41
2020-08,24,65,0,14,5,8,0,<1,0,37,37
2020-09,25,67,0,14,4,4,0,<1,1,63,36
2020-10,23,65,<1,23,6,4,0,4,<1,43,41
2020-11,22,63,0,13,6,4,0,17,1,43,47
2020-12,25,60,<1,13,7,5,0,9,1,45,44
2021-01,24,48,0,13,6,7,<1,6,1,41,40
2021-02,24,47,<1,13,5,6,0,5,1,44,42
2021-03,26,59,0,11,4,5,0,3,<1,39,34
2021-04,24,55,0,9,5,6,0,3,1,43,36
2021-05,23,83,0,9,5,5,0,11,1,38,41
2021-06,25,81,0,10,8,5,0,12,1,43,78
2021-07,26,61,<1,10,7,5,<1,9,1,42,62
2021-08,23,47,0,10,5,9,0,7,1,40,68
2021-09,19,51,0,9,4,3,0,7,1,34,51
2021-10,19,48,<1,8,5,3,<1,20,1,29,44
2021-11,22,61,0,8,9,3,<1,18,1,30,55
2021-12,25,65,0,9,11,4,0,15,1,41,55
2022-01,26,49,<1,9,9,4,<1,16,1,41,42
2022-02,24,47,<1,7,14,4,<1,12,1,39,37
2022-03,26,54,<1,8,9,11,<1,9,1,63,36
2022-04,27,75,<1,8,9,10,<1,13,1,82,55
2022-05,26,47,<1,8,9,10,<1,9,1,60,88
2022-06,27,68,<1,8,7,12,<1,15,1,69,54
2022-07,32,45,3,9,7,11,<1,26,1,90,84
2022-08,29,37,6,18,8,8,<1,13,1,56,48
2022-09,22,32,3,23,7,5,<1,8,1,53,32
2022-10,23,44,3,15,6,12,<1,8,1,67,30
2022-11,25,33,3,17,6,12,2,9,1,63,33
2022-12,26,33,5,10,6,10,1,9,1,67,37
2023-01,26,32,12,11,7,10,1,10,1,70,77
2023-02,25,32,11,9,8,7,3,9,<1,71,84
2023-03,26,27,8,8,14,7,12,7,<1,80,55
2023-04,30,27,7,21,8,8,18,10,1,79,57
2023-05,28,27,5,13,8,19,23,19,1,63,84
2023-06,28,28,5,12,13,18,13,16,1,100,47
2023-07,33,25,15,14,10,19,16,14,1,85,47
2023-08,27,21,13,21,5,18,9,19,1,71,41
2023-09,22,19,9,11,5,11,6,20,1,76,36
